id,product_id,fact_type,fact_info
1,138,quam,"[{""calories"":63,""protein"":339,""fat"":109,""fiber"":274,""carbs"":102},{""calories"":95,""protein"":37,""fat"":116,""fiber"":74,""carbs"":76},{""calories"":156,""protein"":239,""fat"":400,""fiber"":342,""carbs"":254},{""calories"":299,""protein"":317,""fat"":203,""fiber"":162,""carbs"":96}]"
2,183,aliquet,[]
3,954,orci,"[{""calories"":108,""protein"":271,""fat"":175,""fiber"":123,""carbs"":270},{""calories"":82,""protein"":286,""fat"":88,""fiber"":393,""carbs"":151}]"
4,111,vestibulum,"[{""calories"":245,""protein"":295,""fat"":71,""fiber"":304,""carbs"":82}]"
5,674,blandit,"[{""calories"":120,""protein"":202,""fat"":237,""fiber"":399,""carbs"":215},{""calories"":82,""protein"":60,""fat"":37,""fiber"":239,""carbs"":58},{""calories"":311,""protein"":394,""fat"":92,""fiber"":4,""carbs"":269},{""calories"":257,""protein"":388,""fat"":294,""fiber"":252,""carbs"":44},{""calories"":395,""protein"":97,""fat"":363,""fiber"":95,""carbs"":242}]"
6,738,morbi,"[{""calories"":196,""protein"":345,""fat"":55,""fiber"":43,""carbs"":315},{""calories"":292,""protein"":132,""fat"":322,""fiber"":189,""carbs"":173},{""calories"":215,""protein"":206,""fat"":354,""fiber"":171,""carbs"":6}]"
7,87,pretium,"[{""calories"":328,""protein"":210,""fat"":144,""fiber"":64,""carbs"":158},{""calories"":279,""protein"":356,""fat"":396,""fiber"":29,""carbs"":262},{""calories"":384,""protein"":112,""fat"":105,""fiber"":16,""carbs"":54},{""calories"":193,""protein"":182,""fat"":253,""fiber"":56,""carbs"":295},{""calories"":62,""protein"":73,""fat"":121,""fiber"":174,""carbs"":22}]"
8,477,et,"[{""calories"":8,""protein"":195,""fat"":160,""fiber"":138,""carbs"":391},{""calories"":150,""protein"":148,""fat"":115,""fiber"":117,""carbs"":257}]"
9,54,interdum,"[{""calories"":133,""protein"":82,""fat"":52,""fiber"":122,""carbs"":231},{""calories"":201,""protein"":319,""fat"":253,""fiber"":77,""carbs"":181}]"
10,512,leo,[]
11,852,rhoncus,"[{""calories"":250,""protein"":275,""fat"":199,""fiber"":51,""carbs"":97},{""calories"":112,""protein"":100,""fat"":26,""fiber"":316,""carbs"":21},{""calories"":105,""protein"":93,""fat"":152,""fiber"":300,""carbs"":400},{""calories"":61,""protein"":356,""fat"":79,""fiber"":195,""carbs"":22}]"
12,960,sapien,"[{""calories"":99,""protein"":307,""fat"":380,""fiber"":210,""carbs"":5}]"
13,529,felis,"[{""calories"":339,""protein"":1,""fat"":268,""fiber"":333,""carbs"":341}]"
14,233,faucibus,"[{""calories"":258,""protein"":328,""fat"":365,""fiber"":187,""carbs"":343},{""calories"":99,""protein"":236,""fat"":214,""fiber"":195,""carbs"":383},{""calories"":67,""protein"":239,""fat"":249,""fiber"":193,""carbs"":83},{""calories"":170,""protein"":226,""fat"":318,""fiber"":363,""carbs"":365},{""calories"":160,""protein"":370,""fat"":251,""fiber"":348,""carbs"":300}]"
15,187,ligula,"[{""calories"":395,""protein"":103,""fat"":11,""fiber"":197,""carbs"":325},{""calories"":101,""protein"":167,""fat"":275,""fiber"":303,""carbs"":97},{""calories"":353,""protein"":350,""fat"":166,""fiber"":131,""carbs"":112},{""calories"":186,""protein"":326,""fat"":169,""fiber"":133,""carbs"":191},{""calories"":157,""protein"":244,""fat"":208,""fiber"":199,""carbs"":52}]"
16,751,odio,"[{""calories"":76,""protein"":252,""fat"":238,""fiber"":172,""carbs"":105}]"
17,589,pretium,"[{""calories"":242,""protein"":251,""fat"":270,""fiber"":103,""carbs"":163},{""calories"":286,""protein"":321,""fat"":62,""fiber"":40,""carbs"":42},{""calories"":303,""protein"":22,""fat"":340,""fiber"":275,""carbs"":47},{""calories"":51,""protein"":307,""fat"":246,""fiber"":68,""carbs"":12}]"
18,263,ipsum,"[{""calories"":236,""protein"":352,""fat"":84,""fiber"":370,""carbs"":70},{""calories"":106,""protein"":149,""fat"":182,""fiber"":350,""carbs"":323},{""calories"":337,""protein"":41,""fat"":256,""fiber"":165,""carbs"":112},{""calories"":369,""protein"":252,""fat"":179,""fiber"":282,""carbs"":278}]"
19,282,malesuada,[]
20,277,vitae,[]
21,242,et,"[{""calories"":319,""protein"":104,""fat"":43,""fiber"":130,""carbs"":120},{""calories"":121,""protein"":320,""fat"":263,""fiber"":94,""carbs"":73}]"
22,22,nunc,"[{""calories"":311,""protein"":21,""fat"":44,""fiber"":196,""carbs"":205},{""calories"":388,""protein"":18,""fat"":257,""fiber"":193,""carbs"":41},{""calories"":224,""protein"":229,""fat"":22,""fiber"":211,""carbs"":147}]"
23,519,fringilla,[]
24,384,quisque,[]
25,226,integer,"[{""calories"":271,""protein"":260,""fat"":382,""fiber"":228,""carbs"":296},{""calories"":228,""protein"":201,""fat"":260,""fiber"":39,""carbs"":191},{""calories"":155,""protein"":332,""fat"":190,""fiber"":350,""carbs"":208}]"
