id,category_name,product_id
1,nascetur,590
2,leo,234
3,posuere,264
4,accumsan,549
5,ipsum,395
6,scelerisque,594
7,sit,825
8,in,652
9,mauris,10
10,at,279
11,pretium,558
12,turpis,758
13,sed,653
14,quisque,881
15,duis,832
16,tempus,163
17,lacinia,772
18,leo,842
19,nunc,33
20,semper,723
21,mauris,596
22,duis,34
23,pharetra,695
24,libero,903
25,ipsum,795
26,vestibulum,629
27,sed,561
28,odio,328
29,odio,857
30,velit,217
31,quam,598
32,ante,63
33,libero,454
34,turpis,844
35,velit,931
36,diam,678
37,nulla,872
38,molestie,694
39,ultrices,919
40,nam,824
41,in,287
42,enim,74
43,non,847
44,pellentesque,388
45,maecenas,260
46,vestibulum,172
47,vulputate,959
48,sit,215
49,erat,165
50,nulla,710
51,diam,577
52,leo,156
53,tincidunt,458
54,ultrices,107
55,at,47
56,suspendisse,243
57,proin,393
58,nulla,143
59,augue,714
60,nibh,276
61,lectus,699
62,suscipit,211
63,vestibulum,198
64,volutpat,853
65,aliquam,612
66,at,58
67,nulla,980
68,dui,960
69,ultrices,355
70,posuere,33
71,ipsum,244
72,rutrum,909
73,pretium,118
74,magna,783
75,mauris,294
76,magna,665
77,vitae,499
78,dapibus,435
79,sociis,354
80,consectetuer,698
81,nam,14
82,ac,685
83,luctus,492
84,iaculis,204
85,eget,876
86,dui,718
87,ac,809
88,nibh,326
89,nisi,872
90,mollis,278
91,curabitur,148
92,pede,659
93,non,63
94,vel,848
95,morbi,673
96,leo,306
97,fusce,579
98,ante,171
99,libero,240
100,suspendisse,30
