id,product_id,transaction_id,quantity
1,530,46,14
2,210,183,7
3,933,88,13
4,64,38,3
5,576,11,15
6,367,244,17
7,541,81,2
8,156,21,7
9,499,247,20
10,665,155,15
11,337,147,9
12,41,179,17
13,228,112,13
14,728,232,13
15,242,143,16
16,359,39,16
17,431,29,17
18,373,13,11
19,689,116,13
20,175,100,14
21,264,91,13
22,943,59,20
23,200,179,11
24,730,104,8
25,855,99,8
26,112,111,7
27,160,30,6
28,382,127,4
29,388,23,8
30,437,209,11
31,574,58,12
32,113,24,14
33,50,115,18
34,185,108,3
35,188,25,14
36,166,12,3
37,519,30,18
38,768,154,6
39,672,63,13
40,867,122,7
41,612,113,17
42,704,213,20
43,924,242,19
44,895,220,19
45,62,116,9
46,767,99,8
47,936,91,2
48,882,132,4
49,66,14,4
50,7,134,13
51,280,148,13
52,491,95,7
53,408,188,5
54,803,59,7
55,256,235,8
56,302,59,14
57,4,164,7
58,602,145,14
59,211,106,16
60,623,208,8
61,221,155,12
62,63,67,3
63,677,69,11
64,6,122,20
65,144,54,17
66,738,73,6
67,88,146,16
68,395,163,18
69,213,28,3
70,420,123,7
71,687,248,12
72,749,236,1
73,936,146,14
74,742,152,14
75,204,148,2
76,39,1,17
77,727,111,19
78,445,142,6
79,195,19,17
80,666,139,2
81,788,212,12
82,325,59,9
83,432,113,16
84,956,212,3
85,695,186,11
86,998,69,11
87,24,49,17
88,666,41,6
89,690,195,10
90,23,161,2
91,403,87,16
92,542,215,13
93,210,170,4
94,50,171,14
95,819,67,17
96,681,153,2
97,112,7,16
98,232,101,11
99,392,6,19
100,41,151,6
101,554,134,13
102,813,44,14
103,360,30,20
104,819,45,14
105,641,204,2
106,908,242,1
107,266,157,7
108,682,28,1
109,174,106,13
110,180,144,1
111,403,116,9
112,798,56,20
113,791,14,1
114,883,162,13
115,752,244,11
116,722,18,18
117,721,191,10
118,444,247,20
119,99,8,12
120,679,63,4
121,141,104,9
122,452,208,17
123,592,238,11
124,23,238,9
125,865,182,20
126,276,105,6
127,1000,240,12
128,556,202,17
129,332,192,6
130,836,217,8
131,934,80,19
132,314,188,13
133,25,33,20
134,411,9,9
135,854,25,16
136,535,36,3
137,214,2,4
138,215,51,17
139,547,185,15
140,697,246,2
141,820,74,16
142,436,213,9
143,622,97,11
144,122,193,12
145,237,203,16
146,189,27,18
147,497,80,9
148,57,215,5
149,79,136,2
150,633,52,3
151,576,192,2
152,434,111,5
153,583,200,12
154,639,240,1
155,898,156,8
156,521,66,19
157,73,68,2
158,116,81,17
159,449,76,6
160,864,1,8
161,893,62,5
162,73,192,12
163,105,116,16
164,168,123,14
165,420,188,9
166,203,216,17
167,636,223,15
168,348,72,13
169,81,105,14
170,295,216,7
171,64,51,7
172,210,4,3
173,370,37,8
174,550,203,7
175,127,70,19
176,186,231,12
177,863,225,5
178,333,210,5
179,790,230,10
180,691,30,20
181,485,206,5
182,527,206,14
183,385,168,8
184,481,128,20
185,855,127,2
186,390,166,11
187,355,134,8
188,284,194,19
189,313,244,3
190,210,192,6
191,126,212,14
192,903,18,12
193,913,173,12
194,439,165,17
195,312,135,13
196,31,101,10
197,303,153,12
198,990,87,17
199,73,78,19
200,622,96,5
201,651,233,11
202,249,122,5
203,158,75,19
204,120,146,16
205,759,147,7
206,623,162,18
207,517,102,6
208,137,111,16
209,482,49,16
210,302,193,14
211,556,57,18
212,824,23,10
213,566,75,11
214,2,154,7
215,18,68,8
216,546,108,4
217,681,158,13
218,337,102,12
219,765,225,10
220,636,234,1
221,612,238,6
222,6,212,6
223,605,68,11
224,428,19,4
225,946,147,10
226,470,206,8
227,949,3,19
228,738,233,17
229,573,70,6
230,313,26,7
231,800,238,20
232,691,18,6
233,925,167,3
234,700,79,9
235,533,20,6
236,631,23,1
237,357,55,16
238,1000,171,17
239,813,197,18
240,179,98,1
241,11,223,3
242,887,155,11
243,907,29,7
244,442,130,17
245,148,3,9
246,299,190,1
247,725,121,5
248,362,10,8
249,247,142,18
250,568,5,6
